,index,name,metal_complex,SMILES,max_absorption_peak,max_emission_peak,solvant_spectrum,molar_extinction_coefficient,quantum_yield_fluorescence,max_phosphorescence_peak,quantum_yield_singlet_oxygen,solvant_quantum_yield,energy_level_exited_triplet_state,energy_level_HUMO,energy_level_LUMO,difference_HOMO_and_LUMO,method_for_HOMO/LUMO,all_absoption_peaks,reference_DOI
10,1_10, PT2,TRUE,CCCCCCN1C2=C(C=C(/C=C(C(O)=O)\C#N)C=C2)SC3=C1C=CC(C#C[Pt]([P](CCCC)(CCCC)CCCC)([P](CCCC)(CCCC)CCCC)C#CC4=CC(OCCCCCC)=CC=C4)=C3,325,586,CH2Cl2 ,40300,,,,,,-5.28,-2.47,-2.81,theoretical,"325, 448",10.1002/chem.201503828
11,1_11, PT3,TRUE,CCCCCCN1C2=C(C=C(/C=C(C(O)=O)\C#N)C=C2)SC3=C1C=CC(C#C[Pt]([P](CCCC)(CCCC)CCCC)([P](CCCC)(CCCC)CCCC)C#CC4=CC=C(OC5=CC=CC=C5)C=C4)=C3,327,586,CH2Cl2 ,32400,,,,,,-5.24,-2.47,-2.77,theoretical,"327, 423",10.1002/chem.201503828
12,1_12,UY1,FALSE,CC1=C(/C=C(C#N)/C(O)=O)C(C)=C2N1B(F)(F)[N+]3=C(C)C(C4=CC(SC(C=CC=C5)=C5N6CCC)=C6C=C4)=C(C)C3=C2CCCCC,532,,CHCl3 ,65000,,,,,,5.4,3.39,2.01,electrochemistry,"532, 371, 310",10.1016/j.jpowsour.2014.05.079
13,1_13,UY2,FALSE,CC1=C(/C=C(C#N)/C(O)=O)C(C)=C2N1[B-][N+]3=C(C)C(C4=CC(SC(C=CC=C5)=C5N6CCCCCC)=C6C=C4)=C(C)C3=C2CCCCC.[F].[F],532,,CHCl3 ,73000,,,,,,5.41,3.36,2.05,electrochemistry,"532, 369, 308",10.1016/j.jpowsour.2014.05.079
14,1_14,UY3,FALSE,CC1=C(/C=C(C#N)/C(O)=O)C(C)=C2N1[B-](F)[N+]3=C(C)C(C4=CC(SC(C=CC=C5)=C5N6CCCCCCN7C(C=CC(C8=C(C)C9=C(CCCCC)C%10=C(C)C(/C=C(C(O)=O)\C#N)=C(C)N%10B(F)[N+]9=C8C)=C%11)=C%11SC%12=CC=CC=C%127)=C6C=C4)=C(C)C3=C2CCCCC.[F].[F],532,,CHCl3 ,130000,,,,,,5.41,3.42,1.99,electrochemistry,"532, 368, 306",10.1016/j.jpowsour.2014.05.079
15,1_15,UY4,FALSE,CC1=C(C2=CC=C(/C=C(C(O)=O)\C#N)S2)C(C)=C3N1B(F)[N+]4=C(C)C(C5=CC(SC(C=CC=C6)=C6N7CCCCCCN8C(C=CC(C9=C(C)C%10=C(CCCCC)C%11=C(C)C(C%12=CC=C(/C=C(C#N)/C(O)=O)S%12)=C(C)N%11B(F)[N+]%10=C9C)=C%13)=C%13SC%14=CC=CC=C%148)=C7C=C5)=C(C)C4=C3CCCCC.[F].[F],535,,CHCl3 ,135000,,,,,,5.37,3.4,1.97,electrochemistry,,10.1016/j.jpowsour.2014.05.079
16,1_16, JY31,FALSE,CCC(CCCC)CN1C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(/C=C(C(O)=O)\C#N)S5)S4)S3)C=C2SC6=CC=CC=C61,500,,DCM,55700,,,,,,5.28,3.37,1.91,electrochemistry,,10.1016/j.jpowsour.2016.01.055
17,1_17, JY32,FALSE,CCC(CCCC)CN1C2=CC=C(C3=CC(CCCCCCCC)=C(C4=CC=C(C5=C(CCCCCCCC)C=C(/C=C(C(O)=O)\C#N)S5)S4)S3)C=C2SC6=CC=CC=C61,488,,DCM,36300,,,,,,5.3,3.38,1.92,electrochemistry,,10.1016/j.jpowsour.2016.01.055
18,1_18, JY33,FALSE,CCC(CCCC)CN1C2=CC=C(C3=CC(CCCCCCCC)=C(C4=CC=C(C5=C(CCCCCCCC)C=C(/C=C(C(O)=O)\C#N)S5)S4)S3)C=C2SC6=CC(OCCCC)=CC=C61,476,,DCM,29400,,,,,,5.27,3.39,1.88,electrochemistry,,10.1016/j.jpowsour.2016.01.055
19,1_19, P1,FALSE,CC#CC1=CC(SC(C=C(C#CC2=CC=C(C)C3=NSN=C32)C=C4)=C4N5[R])=C5C=C1,316,,CH2Cl2 ,152000,,,,,,5.2,3.21,1.99,electrochemistry,,10.1039/d1nj00925g
20,1_20, P2,FALSE,CC#CC1=CC(SC(C=C(C#CC2=CC(SC(C)=C3)=C3S2)C=C4)=C4N5[R])=C5C=C1,324,512,CH2Cl2 ,44000,0.29,,,,,5.31,3.49,1.82,electrochemistry,,10.1039/d1nj00925g
21,1_21, P3,FALSE,CC#CC1=CC(SC(C=C(C#CC2=C(F)C(F)=C(C)C(F)=C2F)C=C3)=C3N4[R])=C4C=C1,304,556,CH2Cl2 ,79000,0.17,,,,,5.32,3.44,1.88,electrochemistry,,10.1039/d1nj00925g
22,1_22, P4,FALSE,CC#CC1=CC(SC(C=C(C#CC2=C3C(N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=C(C)S2)C=C6)=C6N7[R])=C7C=C1,335,,CH2Cl2 ,229000,,,,,,5.27,3.48,1.79,electrochemistry,,10.1039/d1nj00925g
23,1_23, P5,FALSE,CC#CC1=CC(SC(C=C(C#CC2=CC=C(C3=CC=C(C)S3)S2)C=C4)=C4N5[R])=C5C=C1,429,534,CH2Cl2 ,138000,0.14,,,,,5.39,3.44,1.95,electrochemistry,,10.1039/d1nj00925g
24,1_24, P6,FALSE,CC#CC1=CC(SC(C=C(C#CC2=CC=C(C3=CC=C(C)C=C3)C=C2)C=C4)=C4N5[R])=C5C=C1,298,509,CH2Cl2 ,93000,0.41,,,,,5.43,3.46,1.97,electrochemistry,,10.1039/d1nj00925g
25,1_25, P7,FALSE,CC#CC1=CC(SC(C=C(C#CC2=CC=C(C)S2)C=C3)=C3N4[R])=C4C=C1,419,520,CH2Cl2 ,102000,0.13,,,,,5.44,3.47,1.97,electrochemistry,,10.1039/d1nj00925g
26,1_26,PTZTB1  ,FALSE,CCCCOC(C=C1)=CC=C1C2=CC=C(N3CCCCCCOC4=CC=C(C5=CC=C(N(C6=CC=C(OCCCCCCN7C(C=CC(C8=CC=C(OCCCC)C=C8)=C9)=C9SC%10=CC(C%11=CC=C(/C=C(C(O)=O)\C#N)S%11)=CC=C%107)C=C6)C(C=CC(C%12=CC=C(/C=C(C(O)=O)\C#N)C%12)=C%13)=C%13S%14)C%14=C5)C=C4)C(SC%15=C3C=CC(C%16=CC=C(/C=C(C(O)=O)\C#N)S%16)=C%15)=C2,469,,CH2Cl2/EtOH,54479,,,,,,0.9,-1.02,1.92,electrochemistry,,10.1016/j.electacta.2018.07.119
27,1_27,PTZTB2 ,FALSE,CCCCOC(C=C1)=CC=C1C2=CC=C(N(C(C=CC(C3=CC=C(/C=C(C#N)/C(O)=O)S3)=C4)=C4S5)CCCCCCCCCCCCCOC6=CC=C(C7=CC=C(N(C8=CC=C(OCCCCCCCCCCCCN9C(C=CC(C%10=CC=C(OCCCC)C=C%10)=C%11)=C%11SC%12=CC(C%13=CC=C(/C=C(C#N)/C(O)=O)S%13)=CC=C%129)C=C8)C(C=CC(C%14=CC=C(/C=C(C(O)=O)\C#N)C%14)=C%15)=C%15S%16)C%16=C7)C=C6)C5=C2,473,,CH2Cl2/EtOH,54230,,,,,,0.9,-1.01,1.91,electrochemistry,,10.1016/j.electacta.2018.07.119
28,1_28,PTZTB3,FALSE,CCCCCCCCOC(C=C1)=CC=C1C2=CC=C(N3CCCCCCOC4=CC=C(C5=CC=C(N(C6=CC=C(OCCCCCCN7C(C=CC(C8=CC=C(OCCCCCCCC)C=C8)=C9)=C9SC%10=CC(C%11=CC=C(/C=C(C(O)=O)\C#N)S%11)=CC=C%107)C=C6)C(C=CC(C%12=CC=C(/C=C(C(O)=O)\C#N)C%12)=C%13)=C%13S%14)C%14=C5)C=C4)C(SC%15=C3C=CC(C%16=CC=C(/C=C(C(O)=O)\C#N)S%16)=C%15)=C2,472,,CH2Cl2/EtOH,59400,,,,,,0.92,-0.97,1.89,electrochemistry,,10.1016/j.electacta.2018.07.119
29,1_29,PTZTB4,FALSE,CCCCCCCCOC(C=C1)=CC=C1C2=CC(SC3=CC(C4=CC=C(/C=C(C#N)/C(O)=O)S4)=CC=C35)=C(C=C2)N5CCCCCCCCCCCCOC(C=C6)=CC=C6N(C(C=CC(C7=CC=C(/C=C(C(O)=O)\C#N)C7)=C8)=C8S9)C(C9=C%10)=CC=C%10C%11=CC=C(C=C%11)OCCCCCCCCCCCCCN%12C(C=CC(C%13=CC=C(/C=C(C#N)/C(O)=O)S%13)=C%14)=C%14SC%15=CC(C%16=CC=C(OCCCCCCC)C=C%16)=CC=C%15%12,474,,CH2Cl2/EtOH,63059,,,,,,0.92,-0.97,1.89,electrochemistry,,10.1016/j.electacta.2018.07.119
30,1_30,R-SB,FALSE,COC(C=C1)=CC=C1C2=CC3=C(C=C2)N(C4=CC=C(OC)C=C4)C5=CC=C(C6=CC=C(/C=C(C(O)=O)\C#N)S6)C=C5S3,473,,CH2Cl2/EtOH,21315,,,,,,0.8,-1.18,1.98,electrochemistry,,10.1016/j.electacta.2018.07.119
31,1_31,PTZ1,FALSE,CCCCCCCCN1C2=CC=C(/C=C(C#N)\C(O)=O)C=C2SC3=C1C=CC(/C=C(C#N)\C(O)=O)=C3,460,613,THF,13700,,,,,,-5.62,-3.52,-2.1,electrochemistry,,10.1002/cssc.201501040
32,1_32,PTZ2,FALSE,CCCCCCCCN1C2=CC=C(C3=CC=C(/C=C(C(O)=O)\C#N)S3)C=C2SC4=C1C=CC(C5=CC=C(/C=C(C(O)=O)\C#N)S5)=C4,471,654,THF,34000,,,,,,-5.38,-3.33,-2.05,electrochemistry,,10.1002/cssc.201501040
33,1_33,PTZ3,FALSE,CCCCCCCCN1C2=CC=C(C3=CC4=C(C=C(/C=C(C#N)\C(O)=O)S4)S3)C=C2SC5=C1C=CC(C6=CC(SC(/C=C(C#N)\C(O)=O)=C7)=C7S6)=C5,470,605,THF,57800,,,,,,-5.49,-3.25,-2.24,electrochemistry,,10.1002/cssc.201501040
34,1_34,PTZ4,FALSE,CCCCCCCCN1C2=CC=C(C3=CC=C(C4=CC=C(/C=C(C(O)=O)\C#N)S4)S3)C=C2SC5=C1C=CC(C6=CC=C(C7=CC=C(/C=C(C#N)\C(O)=O)S7)S6)=C5,478,583,THF,56200,,,,,,-5.5,-3.17,-2.33,electrochemistry,,10.1002/cssc.201501040
35,1_35,PTZ5,FALSE,CCCCCCCCN1C2=CC=C(C3=C(OCCCC)C(OCCCC)=C(/C=C(C(O)=O)\C#N)S3)C=C2SC4=C1C=CC(C5=C(OCCCC)C(OCCCC)=C(/C=C(C(O)=O)\C#N)S5)=C4,477,598,THF,35400,,,,,,-5.39,-3.08,-2.31,electrochemistry,,10.1002/cssc.201501040
36,1_36,PTZ6,FALSE,CCCCCCCCN1C2=CC=C(C3=C4C(OCCO4)=C(/C=C(C(O)=O)\C#N)S3)C=C2SC5=C1C=CC(C6=C(OCCO7)C7=C(/C=C(C(O)=O)\C#N)S6)=C5,490,654,THF,39200,,,,,,-5.45,-3.07,-2.38,electrochemistry,,10.1002/cssc.201501040
37,1_37,PR6C1,FALSE,CCC(CCCC)CN1C2=C(C=CC=C2)SC3=CC(/C([H])=C(C(O)=O)\C#N)=CC=C31,462,,dichloromethane(CH2Cl2 ),18122,,,,,,-2.387,-5.487,3.1,theoretical,,10.1166/jnn.2012.5564
38,1_38,PR6C2 ,FALSE,CCC(CCCC)CC1C2=C(C=C(/C([H])=C(C(O)=O)\C#N)C=C2)SC3=CC(/C([H])=C(C(O)=O)\C#N)=CC=C31,469,,dichloromethane(CH2Cl2 ),22548,,,,,,-2.804,-5.824,3.02,theoretical,,10.1166/jnn.2012.5564
39,1_39,PR6R1,FALSE,CCC(CCCC)CN1C2=C(C=CC=C2)SC3=CC(/C([H])=C4SC(N(CC(O)=O)C\4=O)=S)=CC=C31,477,,dichloromethane(CH2Cl2 ),20752,,,,,,-2.468,-5.386,2.92,theoretical,,10.1166/jnn.2012.5564
40,1_40,PR6R2,FALSE,CCC(CCCC)CN1C2=C(C=C(/C([H])=C3C(N(CC(O)=O)C(S/3)=S)=O)C=C2)SC4=CC(/C([H])=C5SC(N(CC(O)=O)C\5=O)=S)=CC=C41,484,,dichloromethane(CH2Cl2 ),34723,,,,,,-2.759,-5.625,2.87,theoretical,,10.1166/jnn.2012.5564
41,1_41,JY24 ,TRUE,CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=C3C=CC4=[N]3[Zn]5(N6C(C=CC6=C4C7=CC=C(C(O)=O)C=C7)=C8C9=CC(C(C)(C)C)=CC(C(C)(C)C)=C9)N%10C2=CC=C%10C(C%11=CC=C(N(CC(CCCC)CC)C(C=CC=C%12)=C%12S%13)C%13=C%11)=C%14[N]5=C8C=C%14)=C1,422,597,DCM,404000,,,,,,5.42,3.34,2.08,electrochemistry,,10.1039/c5ra26754d
42,1_42,JY25,TRUE,CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=C3C=CC4=[N]3[Zn]5(N6C(C=CC6=C4C7=CC=C(/C=C(C#N)/C(O)=O)C=C7)=C8C9=CC(C(C)(C)C)=CC(C(C)(C)C)=C9)N%10C2=CC=C%10C(C%11=CC=C(N(CC(CCCC)CC)C(C=CC=C%12)=C%12S%13)C%13=C%11)=C%14[N]5=C8C=C%14)=C1,424,602,DCM,246000,,,,,,5.43,3.37,2.06,electrochemistry,,10.1039/c5ra26754d
43,1_43,JY26,TRUE,CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=C3C=CC4=[N]3[Zn]5(N6C(C=CC6=C4C7CCC(/C=C(C(O)=O)\C#N)S7)=C8C9=CC(C(C)(C)C)=CC(C(C)(C)C)=C9)N%10C2=CC=C%10C(C%11=CC=C(N(CC(CCCC)CC)C(C=CC=C%12)=C%12S%13)C%13=C%11)=C%14[N]5=C8C=C%14)=C1,425,612,DCM,266000,,,,,,5.44,3.41,2.03,electrochemistry,,10.1039/c5ra26754d
44,1_44,JY27,TRUE,CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=C3C=CC4=[N]3[Zn]5(N6C(C=CC6=C4C#CC7=CC=C(C(O)=O)C=C7)=C8C9=CC(C(C)(C)C)=CC(C(C)(C)C)=C9)N%10C2=CC=C%10C(C%11=CC=C(N(CC(CCCC)CC)C(C=CC=C%12)=C%12S%13)C%13=C%11)=C%14[N]5=C8C=C%14)=C1,442,624,DCM,301000,,,,,,5.44,3.46,1.98,electrochemistry,,10.1039/c5ra26754d
45,1_45,TP1,FALSE,N#C/C(C(O)=O)=C\C(C=C1)=CC2=C1N(CCCCCC)C(C=CC(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C6)=C6S2,469,,CH2Cl2 ,21700,,,,,,5.2,2.99,2.21,electrochemistry,,10.1039/c5ta01665g
46,1_46,TP2,FALSE,N#C/C(C(O)=O)=C\C(C=C1)=CC2=C1N(C3=CC=C(OCCCCCC)C=C3)C(C=CC(C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)=C7)=C7S2,478,,CH2Cl2 ,19900,,,,,,5.28,3.1,2.18,electrochemistry,,10.1039/c5ta01665g
47,1_47,TP3,FALSE,N#C/C(C(O)=O)=C\C(C=C1)=CC2=C1N(C3=CC4=C(N(CCCCCC)C5=C4C=CC=C5)C=C3)C(C=CC(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=C9)=C9S2,491,,CH2Cl2 ,22800,,,,,,5.3,3.16,2.14,electrochemistry,,10.1039/c5ta01665g
48,1_48,TP4,FALSE,N#C/C(C(O)=O)=C\C(C=C1)=CC2=C1N(C3=CC4=C(C(CCCCCC)(CCCCCC)C5=C4C=CC=C5)C=C3)C(C=CC(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=C9)=C9S2,487,,CH2Cl2 ,18900,,,,,,5.26,3.11,2.15,electrochemistry,,10.1039/c4ra01858c
49,1_49,JH305,FALSE,CCCCOC(C=C(OCCCC)C=C1)=C1C2=CC3=C(N(CCCC)C(C=CC(C4=CC=C(C5=CC=C(/C=C(C#N)\C(O)=O)S5)S4)=C6)=C6S3)C=C2,457,,CH2Cl2 ,33500,,,,,,0.61,-1.67,2.28,electrochemistry,,10.1039/c4ra01858c
50,1_50,JH307,FALSE,CCCCOC(C=C(OCCCC)C=C1)=C1C2=CC3=C(N(CCCC)C(C=CC(C4=CC=C(C5=CC=C(/C=C(C(O)=O)/C#N)S5)C6=NSN=C64)=C7)=C7S3)C=C2,498,,CH2Cl2 ,16200,,,,,,0.62,-1.39,2.01,electrochemistry,,10.1039/c4ra01858c
51,1_51,SB ,FALSE,CCN(C(C=CC(/C=C(C#N)/C(O)=O)=C1)=C1S2)C3=C2C=CC=C3,427,,THF,,,,,,,-5.3,-3.01,2.29,theoretical,"300, 314, 427",10.1007/s11224-021-01787-x
52,1_52,PT-BTBA,FALSE,CCN(C(C=CC(C1=CC=C(C2=CC=C(C(O)=O)C=C2)C3=NSN=C31)=C4)=C4S5)C6=C5C=CC=C6,461,,THF,,,,,,,-5.2,-2.95,2.25,theoretical,"320, 322, 461",10.1007/s11224-021-01787-x
53,1_53,PT-EBTBA,FALSE,CCN(C(C=CC(C#CC1=CC=C(C2=CC=C(C(O)=O)C=C2)C3=NSN=C31)=C4)=C4S5)C6=C5C=CC=C6,464,,THF,,,,,,,-5.12,-2.98,2.14,theoretical,"308, 352, 464",10.1007/s11224-021-01787-x
54,1_54,PT-EBTEBA,FALSE,CCN(C(C=CC(C#CC1=CC=C(C#CC2=CC=C(C(O)=O)C=C2)C3=NSN=C31)=C4)=C4S5)C6=C5C=CC=C6,325,,THF,,,,,,,-4.99,-2.92,2.07,theoretical,"325, 374, 506",10.1007/s11224-021-01787-x
55,1_55,TC104 ,FALSE,CCCCN(C(C=CC(C#CC1=CC=C(/C=C(C#N)/C(O)=O)S1)=C2)=C2S3)C4=C3C=CC=C4,465,582,DCM,,,,,,,-5.44,-3.03,2.41,theoretical,,10.1007/s10825-018-1226-5
56,1_56,SP1 ,FALSE,C12=NSN=C1C=CC=C2,482,618,DCM,,,,,,,-5.34,-3.02,2.36,theoretical,,10.1007/s10825-018-1226-5
57,1_57,SP2,FALSE,C12=NON=C1C=CC=C2,584,695,DCM,,,,,,,-4.87,-2.92,1.95,theoretical,,10.1007/s10825-018-1226-5
58,1_58,SP3,FALSE,C12=CC=CC=C1N=CC=N2,441,578,DCM,,,,,,,-5.62,-3.06,2.56,theoretical,,10.1007/s10825-018-1226-5
59,1_59,SP4,FALSE,C12=NSN=C1C=CN=C2,493,633,DCM,,,,,,,-5.32,-3,2.32,theoretical,,10.1007/s10825-018-1226-5
60,1_60,Ptz-FP,FALSE,O=C(N(CC(OC(C)(C)C)=O)C(C)=N/1)C1=C\C(C=C2)=CC3=C2N(CCCC)C4=CC=CC=C4S3,436,626,DMSO,14000,,,0.331,CH3OH,,,,,,,10.6023/cjoc202104040
61,1_60,Ptz-FP,FALSE,O=C(N(CC(OC(C)(C)C)=O)C(C)=N/1)C1=C\C(C=C2)=CC3=C2N(CCCC)C4=CC=CC=C4S3,436,626,CH2Cl2 ,18000,,,0.331,CH3OH,,,,,,,10.6023/cjoc202104040
62,1_61,PPNPP,FALSE,O=C(C(CC)(C)C)OC(C=C1)=C([N+]([O-])=O)C=C1C2=CC(C3=CC=C(SC(C=CC=C4)=C4N5)C5=C3)=NC(C6=CC(NC(C=CC=C7)=C7S8)=C8C=C6)=C2,360,,DMF,,,,,,,-5.17,-2.39,2.78,electrochemistry,,10.1039/c8nj04068k
63,1_62,FPNPP ,FALSE,O=C(C(CC)(C)C)OC(C=C1)=C([N+]([O-])=O)C=C1C2=CC(C3=CC=C(CC(C=CC=C4)=C4C5)C5=C3)=NC(C6=CC(CC(C=CC=C7)=C7C8)=C8C=C6)=C2,346,,DMF,,,,,,,-5.07,-2.17,2.92,electrochemistry,,10.1039/c8nj04068k
64,1_63,APNPP,FALSE,O=C(C(CC)(C)C)OC(C=C1)=C([N+]([O-])=O)C=C1C2=CC(C3=CC=C(C=C(C=CC=C4)C4=C5)C5=C3)=NC(C6=CC(C=C(C=CC=C7)C7=C8)=C8C=C6)=C2,342,,DMF,,,,,,,-4.91,-2.09,3.08,electrochemistry,,10.1039/c8nj04068k
65,1_64,ThEPTZ ,FALSE,CCN1C2=CC=C(C3=CSC=C3)C=C2SC4=C1C=CC=C4,307.7,451,DCM,31800,,,,,,-4.96945,-0.70887,4.26,electrochemistry,,10.1039/c6py01095d
66,1_65,Th2EPTZ ,FALSE,CCN1C2=CC=C(C3=CSC=C3)C=C2SC4=C1C=CC(C5=CSC=C5)=C4,317.6,466,DCM,46900,,,,,,-4.93353,-0.8335,4.1,electrochemistry,,10.1039/c6py01095d
67,1_66,ThFEPTZ ,FALSE,CCN1C2=CC=C(C3=CSC=C3)C=C2SC4=C1C=CC(C=O)=C4,327.7,541,DCM,99300,,,,,,-5.34661,-1.60496,3.74,electrochemistry,,10.1039/c6py01095d
68,1_67,PFCH,FALSE,O=C(CC#C)N/N=C\C1=CC=C(O1)C2=CC=C(C(N3)=C2)SC4=C3C=CC=C4,468,,CH2Cl2 ,,,,,,,-5.821,-2.131,3.691,theoretical,,10.1007/s00894-022-05026-w
69,1_68,BFCH,FALSE,O=C(CC#N)N/N=C\C1=CC=C(O1)C2=C3C(C4=CC=CC=C4O3)=CC=C2,446,,CH2Cl2 ,,,,,,,-5.321,-2.115,3.204,theoretical,,10.1007/s00894-022-05026-w
70,1_69,PMI-N-PTZ,FALSE,CC(C)C(C=CC=C1C(C)C)=C1N(C2=O)C(C3=CC=C4C(C5=C6C=CC=C5C7=C4C3=C2C=C7)=CC=C6N8C9=C(C=CC=C9)SC%10=CC=CC=C%108)=O,496,659, n-hexane,35500,0.05,,0.57, toluene,,,,,,,10.1039/c8cc07012a
